,Time128Hz,Epoch,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,EventId,EventDate,EventDuration
1771,13.8359375,55,4139.4873046875,4139.4873046875,4157.6923828125,4134.7436523438,4151.2822265625,4141.9228515625,4128.9741210938,4161.6665039063,4153.0771484375,4145.1284179688,4137.6923828125,4126.6665039063,4138.0771484375,4192.4360351563,33025,13.8395803992,0.0000000000
1772,13.84375,55,4139.3588867188,4136.2822265625,4150.8974609375,4123.8461914063,4141.5385742188,4145.8974609375,4135.1284179688,4159.2309570313,4156.1538085938,4153.58984375,4144.4873046875,4126.6665039063,4138.7177734375,4187.9487304688,33025,0,0
1773,13.8515625,55,4140.8974609375,4135.1284179688,4149.615234375,4125.8974609375,4136.5385742188,4138.3334960938,4126.2822265625,4154.7436523438,4154.3588867188,4161.5385742188,4162.6923828125,4138.0771484375,4143.9741210938,4194.8715820313,33025,0,0
1774,13.859375,55,4144.3588867188,4142.1796875,4160.384765625,4139.1025390625,4142.4360351563,4136.794921875,4123.0771484375,4155.7690429688,4156.794921875,4167.9487304688,4176.1538085938,4138.9741210938,4156.6665039063,4201.794921875,33025,0,0
1775,13.8671875,55,4143.7177734375,4144.615234375,4167.5639648438,4137.1796875,4141.0258789063,4140.6411132813,4123.205078125,4158.58984375,4156.1538085938,4166.5385742188,4175.7690429688,4138.9741210938,4166.9228515625,4206.6665039063,33025,0,0
1776,13.875,55,4143.205078125,4138.0771484375,4157.6923828125,4124.1025390625,4140.6411132813,4137.0512695313,4116.1538085938,4150.8974609375,4145.1284179688,4153.9741210938,4168.7177734375,4143.4614257813,4158.4614257813,4208.4614257813,33025,0,0
1777,13.8828125,55,4142.5639648438,4134.2309570313,4148.3334960938,4125.8974609375,4151.41015625,4133.8461914063,4113.3334960938,4139.4873046875,4135.6411132813,4139.4873046875,4154.8715820313,4143.0771484375,4140.0,4196.41015625,33025,0,0
1778,13.890625,55,4142.4360351563,4142.9487304688,4151.5385742188,4139.3588867188,4156.41015625,4137.1796875,4121.5385742188,4138.8461914063,4134.615234375,4136.1538085938,4141.0258789063,4133.205078125,4134.7436523438,4185.8974609375,33025,0,0
1779,13.8984375,55,4143.7177734375,4155.2563476563,4154.2309570313,4141.1538085938,4156.5385742188,4143.0771484375,4129.2309570313,4148.4614257813,4138.8461914063,4141.794921875,4136.5385742188,4123.9741210938,4139.3588867188,4187.0512695313,33025,0,0
1780,13.90625,55,4142.5639648438,4151.1538085938,4151.1538085938,4137.8203125,4158.3334960938,4146.1538085938,4128.4614257813,4152.4360351563,4140.7690429688,4137.3076171875,4135.5126953125,4121.5385742188,4131.5385742188,4184.7436523438,33025,0,0
1781,13.9140625,55,4137.9487304688,4138.3334960938,4149.7436523438,4139.4873046875,4150.1284179688,4143.7177734375,4124.2309570313,4143.8461914063,4130.8974609375,4124.615234375,4132.0512695313,4115.6411132813,4117.8203125,4181.794921875,33025,0,0
1782,13.921875,55,4136.5385742188,4139.7436523438,4151.9228515625,4141.5385742188,4146.0258789063,4137.4360351563,4120.1284179688,4132.1796875,4120.0,4126.794921875,4135.6411132813,4105.7690429688,4123.9741210938,4183.0771484375,33025,0,0
1783,13.9296875,55,4140.7690429688,4141.794921875,4154.4873046875,4141.2822265625,4156.1538085938,4138.4614257813,4116.5385742188,4127.3076171875,4121.794921875,4139.2309570313,4149.4873046875,4115.5126953125,4140.8974609375,4187.4360351563,33025,0,0
1784,13.9375,55,4138.8461914063,4128.9741210938,4153.205078125,4135.6411132813,4150.2563476563,4138.7177734375,4111.9228515625,4126.6665039063,4123.4614257813,4137.4360351563,4153.0771484375,4136.9228515625,4141.2822265625,4192.1796875,33025,0,0
1785,13.9453125,55,4137.6923828125,4126.5385742188,4153.205078125,4128.9741210938,4136.1538085938,4127.5639648438,4113.8461914063,4135.5126953125,4122.8203125,4133.8461914063,4152.0512695313,4142.6923828125,4138.205078125,4199.1025390625,33025,0,0
1786,13.953125,55,4142.8203125,4137.1796875,4154.7436523438,4124.8715820313,4138.58984375,4123.4614257813,4125.8974609375,4153.8461914063,4137.0512695313,4147.3076171875,4164.4873046875,4142.1796875,4151.9228515625,4208.205078125,33025,0,0
1787,13.9609375,55,4136.794921875,4125.0,4143.0771484375,4117.8203125,4135.384765625,4134.8715820313,4136.794921875,4156.1538085938,4144.8715820313,4152.8203125,4163.0771484375,4136.5385742188,4158.7177734375,4203.7177734375,33025,0,0
1788,13.96875,55,4126.0258789063,4101.0258789063,4127.0512695313,4104.4873046875,4125.0,4141.1538085938,4140.0,4140.384765625,4130.7690429688,4140.7690429688,4141.1538085938,4121.9228515625,4143.7177734375,4187.5639648438,33025,0,0
1789,13.9765625,55,4124.4873046875,4106.9228515625,4127.4360351563,4093.0769042969,4136.9228515625,4137.8203125,4131.6665039063,4133.8461914063,4126.41015625,4135.7690429688,4133.0771484375,4115.7690429688,4134.1025390625,4181.6665039063,33025,0,0
1790,13.984375,55,4126.794921875,4126.41015625,4135.1284179688,4088.4614257813,4156.9228515625,4141.6665039063,4123.3334960938,4143.0771484375,4142.0512695313,4140.5126953125,4140.5126953125,4117.8203125,4140.5126953125,4186.2822265625,33025,0,0
1791,13.9921875,55,4130.5126953125,4125.384765625,4138.4614257813,4093.7180175781,4158.8461914063,4146.794921875,4122.6923828125,4148.8461914063,4151.5385742188,4142.9487304688,4140.1284179688,4127.1796875,4141.9228515625,4186.5385742188,33025,0,0
1792,14.0,56,4130.5126953125,4118.8461914063,4138.9741210938,4102.5639648438,4150.1284179688,4140.5126953125,4116.5385742188,4141.41015625,4147.5639648438,4141.5385742188,4138.205078125,4141.1538085938,4138.0771484375,4185.1284179688,33025,0,0
1793,14.0078125,56,4126.6665039063,4126.6665039063,4138.9741210938,4105.0,4143.9741210938,4135.8974609375,4107.1796875,4137.0512695313,4142.3076171875,4143.3334960938,4143.205078125,4142.6923828125,4142.0512695313,4182.4360351563,33025,0,0
1794,14.015625,56,4128.8461914063,4131.1538085938,4137.1796875,4104.3588867188,4140.384765625,4134.2309570313,4106.41015625,4138.7177734375,4135.1284179688,4141.5385742188,4138.205078125,4131.794921875,4138.58984375,4173.7177734375,33025,0,0
1795,14.0234375,56,4132.0512695313,4123.0771484375,4134.615234375,4105.1284179688,4135.2563476563,4124.8715820313,4104.4873046875,4130.5126953125,4121.9228515625,4129.1025390625,4123.205078125,4123.9741210938,4125.0,4167.9487304688,33025,0,0
1796,14.03125,56,4128.58984375,4125.384765625,4136.0258789063,4107.8203125,4135.7690429688,4121.1538085938,4106.1538085938,4123.7177734375,4116.6665039063,4118.4614257813,4116.1538085938,4115.5126953125,4119.8715820313,4165.384765625,33025,0,0
1797,14.0390625,56,4130.384765625,4139.615234375,4137.1796875,4110.384765625,4142.0512695313,4132.4360351563,4118.8461914063,4135.5126953125,4126.6665039063,4126.9228515625,4123.8461914063,4110.0,4124.615234375,4166.0258789063,33025,0,0
1798,14.046875,56,4140.384765625,4140.384765625,4143.0771484375,4108.4614257813,4131.6665039063,4139.7436523438,4126.1538085938,4142.9487304688,4138.58984375,4140.0,4132.4360351563,4118.0771484375,4131.2822265625,4175.8974609375,33025,0,0
1799,14.0546875,56,4140.8974609375,4127.1796875,4153.9741210938,4106.6665039063,4124.8715820313,4138.58984375,4125.7690429688,4139.4873046875,4139.3588867188,4139.2309570313,4136.0258789063,4127.3076171875,4137.8203125,4187.0512695313,33025,0,0
1800,14.0625,56,4134.3588867188,4121.9228515625,4151.5385742188,4104.8715820313,4138.7177734375,4139.4873046875,4122.4360351563,4138.8461914063,4130.7690429688,4137.4360351563,4140.2563476563,4126.2822265625,4141.2822265625,4186.5385742188,33025,0,0
1801,14.0703125,56,4132.3076171875,4123.205078125,4136.9228515625,4099.8715820313,4137.0512695313,4139.3588867188,4113.7177734375,4133.8461914063,4122.5639648438,4140.1284179688,4141.2822265625,4125.384765625,4139.3588867188,4183.0771484375,33025,0,0
1802,14.078125,56,4133.8461914063,4122.9487304688,4136.0258789063,4099.2309570313,4124.8715820313,4135.384765625,4108.9741210938,4131.1538085938,4129.615234375,4143.4614257813,4140.7690429688,4134.3588867188,4137.6923828125,4187.1796875,33025,0,0
1803,14.0859375,56,4134.615234375,4125.7690429688,4142.5639648438,4106.6665039063,4135.2563476563,4133.4614257813,4110.5126953125,4139.2309570313,4143.8461914063,4147.8203125,4142.0512695313,4137.3076171875,4135.5126953125,4184.7436523438,33025,0,0
